"Timestamp","Q1. How often do you consume influencer content on social media?","Q2. Which platform do you most frequently use to follow influencers?","Q3. What type of influencers do you mostly follow?","Q4. What lifestyle topics do you usually watch?","Q5. I consider the influencers I follow to be trustworthy.","Q6. Influencers I follow seem authentic rather than scripted.","Q7. I feel a sense of personal connection with influencers I follow.","Q8. I trust influencers' opinions on lifestyle-related topics.","Q9. Influencer content often affects my mood or emotions.","Q10. I feel emotionally motivated by influencer content.","Q11. I relate emotionally to the lifestyles presented by influencers.","Q12. Influencer content has influenced my lifestyle habits (e.g., routines, self-care, fitness).","Q13. I have tried products, services, or routines recommended by influencers.","Q14. Influencer content influences my perception of an “ideal” lifestyle.","Q15. Have influencers influenced your purchasing or adoption decisions?","Q16. Age group","Q17. Gender","Q18. Country or region"
"2026/01/06 1:17:26 PM GMT+1","Less than once a week","YouTube","No preference (I don’t pay attention to follower count)","Fitness & health;Beauty & fashion;Other","1","1","1","1","1","2","1","1","1","1","No","25–34","Male","Middle East"
"2026/01/06 1:45:16 PM GMT+1","Less than once a week","YouTube","No preference (I don’t pay attention to follower count)","Other","4","4","4","4","1","3","3","2","1","2","No","25–34","Male","Europe"
"2026/01/06 3:19:45 PM GMT+1","Daily","Instagram","Macro-influencers (100,000–1 million followers)","Fitness & health","3","4","3","3","3","3","3","3","1","3","Yes","25–34","Female","Europe"
"2026/01/06 5:22:17 PM GMT+1","Daily","TikTok","Macro-influencers (100,000–1 million followers)","Fitness & health;Other","2","4","3","2","3","2","2","3","2","3","No","25–34","Male","Europe"
"2026/01/07 7:43:50 PM GMT+1","Less than once a week","Instagram","No preference (I don’t pay attention to follower count)","Fitness & health;Food & nutrition","3","3","3","1","1","2","2","2","1","1","Not sure","18–24","Male","Asia"
"2026/01/08 10:46:44 AM GMT+1","Daily","YouTube","No preference (I don’t pay attention to follower count)","Fitness & health;Food & nutrition","4","4","4","3","3","4","3","2","2","3","Not sure","25–34","Female","Europe"
"2026/01/08 5:22:05 PM GMT+1","Daily","Instagram","No preference (I don’t pay attention to follower count)","Beauty & fashion;Wellness & self-care","4","3","3","4","3","3","3","4","2","2","Not sure","25–34","Female","Middle East"
"2026/01/11 4:07:28 PM GMT+1","Daily","YouTube","Mega-influencers (more than 1 million followers)","Beauty & fashion","5","4","3","3","5","3","3","4","5","3","Yes","25–34","Male","Europe"
"2026/01/12 12:08:05 PM GMT+1","Daily","Instagram","Macro-influencers (100,000–1 million followers)","Other","4","4","2","4","2","2","1","5","3","3","Yes","18–24","Female","Asia"
"2026/01/15 2:37:23 PM GMT+1","Daily","YouTube","No preference (I don’t pay attention to follower count)","Wellness & self-care","4","3","2","3","4","4","2","4","2","2","Not sure","35–44","Female","Europe"
"2026/01/15 2:39:19 PM GMT+1","Daily","Instagram","Mega-influencers (more than 1 million followers)","Beauty & fashion","4","4","4","4","3","3","1","4","1","2","Not sure","25–34","Male","Middle East"
"2026/01/15 2:48:31 PM GMT+1","Daily","Instagram","No preference (I don’t pay attention to follower count)","Beauty & fashion;Food & nutrition","3","3","3","3","4","4","3","2","2","2","No","18–24","Male","Middle East"
"2026/01/15 2:51:46 PM GMT+1","Several times a week","TikTok","No preference (I don’t pay attention to follower count)","Beauty & fashion;Wellness & self-care","2","3","1","2","2","2","2","3","1","1","Yes","18–24","Female","Europe"
"2026/01/15 2:53:52 PM GMT+1","Daily","Instagram","No preference (I don’t pay attention to follower count)","Fitness & health;Food & nutrition;Other","4","4","2","3","4","3","2","3","4","3","Not sure","25–34","Female","Europe"
"2026/01/15 2:55:38 PM GMT+1","Several times a week","Instagram","No preference (I don’t pay attention to follower count)","Food & nutrition;Other","4","4","3","3","4","3","3","4","4","3","Not sure","35–44","Female","Middle East"
"2026/01/15 2:57:52 PM GMT+1","Daily","Instagram","No preference (I don’t pay attention to follower count)","Fitness & health;Beauty & fashion;Food & nutrition;Wellness & self-care","5","5","4","5","1","2","2","5","5","2","No","25–34","Female","Europe"
"2026/01/15 3:07:00 PM GMT+1","Several times a week","YouTube","No preference (I don’t pay attention to follower count)","Wellness & self-care;Other","5","5","4","5","3","4","3","5","5","4","Not sure","25–34","Female","Europe"
"2026/01/15 3:08:37 PM GMT+1","Daily","TikTok","No preference (I don’t pay attention to follower count)","Beauty & fashion;Wellness & self-care;Other","5","5","4","4","4","5","3","5","5","4","Yes","18–24","Female","Asia"
"2026/01/18 12:20:14 PM GMT+1","Several times a week","YouTube","No preference (I don’t pay attention to follower count)","Wellness & self-care;Other","4","4","2","4","2","4","3","4","2","1","Not sure","25–34","Female","Europe"
"2026/01/18 12:22:06 PM GMT+1","Daily","Instagram","No preference (I don’t pay attention to follower count)","Beauty & fashion;Food & nutrition;Other","3","3","1","4","2","2","2","4","1","1","Not sure","25–34","Male","Europe"
"2026/01/19 6:56:10 AM GMT+1","Daily","TikTok","No preference (I don’t pay attention to follower count)","Beauty & fashion;Other","2","3","1","4","1","2","3","3","1","1","Not sure","25–34","Female","Europe"
"2026/01/19 6:58:09 AM GMT+1","Several times a week","Instagram","Micro-influencers (1,000–100,000 followers)","Beauty & fashion;Food & nutrition","4","4","1","4","2","4","3","4","3","2","Yes","25–34","Female","Europe"
"2026/01/20 10:37:39 AM GMT+1","Daily","Instagram","Micro-influencers (1,000–100,000 followers)","Fitness & health;Beauty & fashion;Other","4","3","1","4","2","3","2","3","2","1","No","25–34","Male","Europe"
"2026/01/20 3:09:29 PM GMT+1","Several times a week","YouTube","Micro-influencers (1,000–100,000 followers)","Beauty & fashion;Wellness & self-care;Other","4","3","2","3","3","3","3","3","2","1","Not sure","25–34","Female","Europe"
"2026/01/20 3:10:50 PM GMT+1","Daily","TikTok","No preference (I don’t pay attention to follower count)","Fitness & health;Beauty & fashion;Food & nutrition;Wellness & self-care;Other","2","3","2","3","1","1","1","2","2","1","Not sure","25–34","Male","Europe"
"2026/01/20 3:12:04 PM GMT+1","Daily","Instagram","No preference (I don’t pay attention to follower count)","Food & nutrition;Other","2","2","1","1","1","1","1","2","1","1","No","25–34","Male","Europe"
"2026/01/22 6:39:30 AM GMT+1","Several times a week","Instagram","No preference (I don’t pay attention to follower count)","Beauty & fashion;Food & nutrition;Other","3","3","3","3","3","1","3","3","1","1","Not sure","25–34","Male","Europe"
"2026/01/22 6:40:36 AM GMT+1","Daily","TikTok","No preference (I don’t pay attention to follower count)","Fitness & health;Beauty & fashion;Wellness & self-care;Other","2","2","1","1","1","1","1","3","2","1","No","18–24","Female","Europe"
"2026/01/22 6:41:42 AM GMT+1","Daily","YouTube","No preference (I don’t pay attention to follower count)","Other","4","3","2","3","1","3","1","4","2","1","Yes","25–34","Female","Europe"
"2026/01/22 6:43:04 AM GMT+1","Daily","Instagram","Micro-influencers (1,000–100,000 followers)","Fitness & health;Beauty & fashion;Food & nutrition;Wellness & self-care;Other","3","3","1","3","3","2","2","3","1","1","No","18–24","Female","Europe"
"2026/01/22 6:44:16 AM GMT+1","Daily","Instagram","No preference (I don’t pay attention to follower count)","Beauty & fashion;Other","2","2","1","2","1","3","1","3","2","2","Not sure","18–24","Male","Europe"
"2026/01/22 6:45:23 AM GMT+1","Several times a week","Instagram","No preference (I don’t pay attention to follower count)","Fitness & health;Food & nutrition","3","3","1","4","3","2","2","3","2","2","Yes","25–34","Male","Europe"
"2026/01/22 6:46:24 AM GMT+1","Daily","TikTok","Micro-influencers (1,000–100,000 followers)","Beauty & fashion;Wellness & self-care;Other","3","3","1","3","4","4","2","3","3","2","Yes","25–34","Female","Europe"
"2026/01/22 6:47:38 AM GMT+1","Daily","YouTube","No preference (I don’t pay attention to follower count)","Other","4","4","2","4","2","4","2","3","3","3","Yes","25–34","Male","Europe"
"2026/01/22 6:49:06 AM GMT+1","Daily","Instagram","Mega-influencers (more than 1 million followers)","Beauty & fashion;Other","3","2","1","3","2","3","2","2","3","1","Yes","25–34","Female","Asia"
"2026/01/22 6:50:10 AM GMT+1","Daily","TikTok","No preference (I don’t pay attention to follower count)","Fitness & health;Beauty & fashion;Food & nutrition;Other","3","3","3","3","3","3","2","3","3","2","Yes","25–34","Female","Asia"
"2026/01/22 5:04:21 PM GMT+1","Daily","Instagram","No preference (I don’t pay attention to follower count)","Beauty & fashion;Food & nutrition;Other","3","3","2","2","2","1","1","2","1","1","Not sure","25–34","Female","Europe"
"2026/01/22 5:06:00 PM GMT+1","Daily","Instagram","Micro-influencers (1,000–100,000 followers)","Fitness & health;Beauty & fashion;Food & nutrition;Wellness & self-care","4","3","1","3","2","2","1","3","2","2","Yes","18–24","Male","Europe"
"2026/01/23 6:45:59 AM GMT+1","Several times a week","YouTube","No preference (I don’t pay attention to follower count)","Fitness & health;Beauty & fashion;Food & nutrition;Wellness & self-care;Other","2","3","4","4","2","2","2","3","4","2","Yes","25–34","Male","Asia"
"2026/01/23 6:47:19 AM GMT+1","Daily","YouTube","No preference (I don’t pay attention to follower count)","Other","4","4","3","3","3","3","3","4","4","2","Yes","35–44","Male","Europe"
"2026/01/23 6:48:39 AM GMT+1","Several times a week","TikTok","No preference (I don’t pay attention to follower count)","Beauty & fashion;Wellness & self-care;Other","3","3","1","4","3","3","1","3","2","3","Yes","25–34","Female","Europe"
"2026/01/23 6:50:13 AM GMT+1","Daily","Instagram","No preference (I don’t pay attention to follower count)","Fitness & health;Beauty & fashion;Food & nutrition;Other","4","4","2","4","2","3","2","3","2","2","Not sure","25–34","Female","Europe"
"2026/01/23 6:51:31 AM GMT+1","Daily","Instagram","Mega-influencers (more than 1 million followers)","Beauty & fashion;Other","4","4","3","4","3","2","2","3","2","3","Not sure","25–34","Male","Middle East"
"2026/01/25 1:01:06 PM GMT+1","Daily","Instagram","No preference (I don’t pay attention to follower count)","Beauty & fashion;Food & nutrition;Other","4","4","3","4","1","2","1","3","3","3","Yes","25–34","Female","Middle East"
"2026/01/25 1:02:20 PM GMT+1","Daily","Instagram","Micro-influencers (1,000–100,000 followers)","Fitness & health;Food & nutrition;Other","2","2","2","2","2","2","2","3","2","1","Not sure","18–24","Male","Middle East"
"2026/01/25 1:03:27 PM GMT+1","Daily","Instagram","No preference (I don’t pay attention to follower count)","Wellness & self-care;Other","3","3","2","3","3","3","3","4","4","3","Yes","25–34","Female","Europe"
"2026/01/25 1:04:29 PM GMT+1","Daily","YouTube","No preference (I don’t pay attention to follower count)","Other","4","4","2","4","3","3","2","4","4","3","Yes","25–34","Male","Middle East"
"2026/01/25 1:05:45 PM GMT+1","Several times a week","TikTok","No preference (I don’t pay attention to follower count)","Fitness & health;Beauty & fashion;Wellness & self-care;Other","1","2","1","1","2","2","2","3","4","1","Not sure","18–24","Female","Asia"
"2026/01/25 1:06:51 PM GMT+1","Daily","Instagram","Macro-influencers (100,000–1 million followers)","Beauty & fashion;Food & nutrition;Other","4","4","3","4","3","3","3","4","4","3","Yes","25–34","Female","Asia"
"2026/01/25 1:10:32 PM GMT+1","Less than once a week","Instagram","No preference (I don’t pay attention to follower count)","Fitness & health;Beauty & fashion;Food & nutrition;Wellness & self-care;Other","2","3","1","2","1","1","1","2","4","2","Not sure","35–44","Male","Middle East"
"2026/01/25 1:11:42 PM GMT+1","Several times a week","Instagram","No preference (I don’t pay attention to follower count)","Beauty & fashion;Food & nutrition;Wellness & self-care;Other","4","4","4","3","4","4","3","4","5","3","Yes","35–44","Female","Middle East"
"2026/01/25 1:12:51 PM GMT+1","Daily","Instagram","No preference (I don’t pay attention to follower count)","Beauty & fashion;Wellness & self-care;Other","3","3","4","3","4","4","4","4","4","3","Yes","25–34","Female","Middle East"
"2026/01/25 1:26:35 PM GMT+1","Daily","YouTube","No preference (I don’t pay attention to follower count)","Beauty & fashion;Other","3","3","2","3","2","3","3","4","4","3","Yes","25–34","Female","Middle East"
"2026/01/25 1:27:30 PM GMT+1","Daily","TikTok","Macro-influencers (100,000–1 million followers)","Beauty & fashion","5","4","3","4","4","4","3","4","5","3","Yes","25–34","Female","Europe"
"2026/01/25 1:28:36 PM GMT+1","Daily","Instagram","No preference (I don’t pay attention to follower count)","Beauty & fashion;Food & nutrition;Wellness & self-care;Other","2","3","2","3","4","4","2","5","5","3","Yes","25–34","Female","Europe"
"2026/01/25 1:31:35 PM GMT+1","Several times a week","Instagram","No preference (I don’t pay attention to follower count)","Fitness & health;Beauty & fashion","3","3","3","4","3","4","3","4","5","3","Yes","25–34","Female","Middle East"
"2026/01/25 5:17:04 PM GMT+1","Several times a week","TikTok","No preference (I don’t pay attention to follower count)","Beauty & fashion;Other","3","3","2","3","2","3","3","2","1","1","Not sure","25–34","Female","Europe"
"2026/01/25 5:18:54 PM GMT+1","Daily","TikTok","Micro-influencers (1,000–100,000 followers)","Beauty & fashion","4","3","3","4","3","4","3","4","5","3","Yes","25–34","Female","Europe"
"2026/01/25 5:24:29 PM GMT+1","Daily","Instagram","No preference (I don’t pay attention to follower count)","Fitness & health;Beauty & fashion;Food & nutrition;Other","3","3","3","4","3","3","3","4","4","3","Yes","25–34","Female","Middle East"
"2026/01/26 12:04:53 PM GMT+1","Daily","Instagram","No preference (I don’t pay attention to follower count)","Fitness & health;Beauty & fashion;Food & nutrition;Wellness & self-care;Other","4","2","2","4","2","1","2","3","4","2","Yes","25–34","Female","Middle East"
"2026/01/26 12:06:12 PM GMT+1","Daily","Instagram","No preference (I don’t pay attention to follower count)","Beauty & fashion;Food & nutrition","5","4","3","4","3","4","2","4","4","3","Yes","35–44","Male","Middle East"
"2026/01/26 12:06:26 PM GMT+1","Daily","TikTok","No preference (I don’t pay attention to follower count)","Fitness & health;Food & nutrition","4","4","4","2","3","3","3","4","3","4","No","18–24","Male","Europe"
"2026/01/29 10:06:59 AM GMT+1","Daily","Instagram","No preference (I don’t pay attention to follower count)","Beauty & fashion;Food & nutrition;Other","4","4","2","4","2","3","4","4","1","1","Not sure","25–34","Male","Europe"
"2026/01/29 10:08:08 AM GMT+1","Daily","Instagram","No preference (I don’t pay attention to follower count)","Fitness & health;Food & nutrition","2","2","1","3","1","3","3","3","2","2","Not sure","18–24","Male","Europe"
"2026/01/29 10:08:58 AM GMT+1","Daily","YouTube","No preference (I don’t pay attention to follower count)","Other","5","5","3","4","4","5","3","5","5","3","Yes","18–24","Male","Europe"
"2026/01/29 10:09:45 AM GMT+1","Daily","Instagram","No preference (I don’t pay attention to follower count)","Beauty & fashion;Food & nutrition","3","3","2","3","2","1","1","2","2","1","No","18–24","Male","Middle East"
"2026/01/29 10:10:33 AM GMT+1","Daily","Instagram","No preference (I don’t pay attention to follower count)","Fitness & health;Beauty & fashion;Food & nutrition;Other","3","4","3","4","3","4","4","4","3","3","Yes","25–34","Female","Asia"
"2026/01/29 10:11:15 AM GMT+1","Daily","TikTok","No preference (I don’t pay attention to follower count)","Fitness & health;Wellness & self-care","4","4","2","2","1","2","2","3","2","1","Not sure","25–34","Female","Europe"
"2026/01/29 10:28:52 AM GMT+1","Daily","TikTok","Micro-influencers (1,000–100,000 followers)","Fitness & health;Beauty & fashion;Food & nutrition","3","3","1","4","2","3","2","3","3","2","Not sure","25–34","Female","Middle East"
"2026/01/29 10:29:40 AM GMT+1","Daily","Instagram","No preference (I don’t pay attention to follower count)","Beauty & fashion;Food & nutrition","3","3","3","4","3","4","3","4","4","2","Yes","25–34","Female","Europe"
"2026/01/29 10:30:28 AM GMT+1","Daily","Instagram","No preference (I don’t pay attention to follower count)","Beauty & fashion;Food & nutrition;Other","4","4","3","3","2","2","2","4","3","1","Not sure","25–34","Female","Middle East"
"2026/01/30 2:47:36 PM GMT+1","Daily","Instagram","No preference (I don’t pay attention to follower count)","Beauty & fashion;Food & nutrition;Other","3","3","2","3","1","1","2","2","3","1","Not sure","18–24","Female","Middle East"
"2026/01/30 2:48:35 PM GMT+1","Daily","TikTok","No preference (I don’t pay attention to follower count)","Fitness & health;Beauty & fashion;Food & nutrition","4","3","3","4","3","3","3","4","3","1","Yes","18–24","Male","Europe"
"2026/01/30 2:49:19 PM GMT+1","Daily","Instagram","No preference (I don’t pay attention to follower count)","Fitness & health;Beauty & fashion","2","2","1","3","2","2","3","3","2","1","Not sure","25–34","Female","Europe"
"2026/01/30 2:50:08 PM GMT+1","Daily","Instagram","Micro-influencers (1,000–100,000 followers)","Fitness & health;Beauty & fashion;Food & nutrition;Wellness & self-care;Other","4","4","2","4","3","2","2","3","4","1","Not sure","25–34","Female","Europe"
"2026/01/30 3:32:52 PM GMT+1","Daily","YouTube","No preference (I don’t pay attention to follower count)","Beauty & fashion;Other","4","4","3","4","3","2","3","4","4","2","Yes","25–34","Female","Europe"
"2026/01/30 3:33:50 PM GMT+1","Daily","Instagram","No preference (I don’t pay attention to follower count)","Beauty & fashion","4","4","2","5","3","2","3","3","4","2","Yes","18–24","Female","Europe"
"2026/01/30 3:34:37 PM GMT+1","Daily","TikTok","No preference (I don’t pay attention to follower count)","Fitness & health;Beauty & fashion;Other","3","3","2","3","3","3","3","3","3","2","Not sure","25–34","Female","Europe"
"2026/01/30 3:35:29 PM GMT+1","Daily","TikTok","No preference (I don’t pay attention to follower count)","Fitness & health;Beauty & fashion;Food & nutrition;Other","3","2","1","2","1","2","1","2","2","1","Not sure","18–24","Male","Europe"
"2026/01/30 3:36:23 PM GMT+1","Daily","Instagram","No preference (I don’t pay attention to follower count)","Fitness & health;Beauty & fashion;Food & nutrition;Other","3","2","1","2","1","1","2","2","1","1","Not sure","18–24","Male","Middle East"
"2026/01/31 12:27:57 PM GMT+1","Daily","Instagram","No preference (I don’t pay attention to follower count)","Beauty & fashion;Food & nutrition;Other","4","4","3","4","2","2","2","3","3","1","Not sure","25–34","Male","Middle East"
"2026/01/31 12:28:59 PM GMT+1","Daily","TikTok","No preference (I don’t pay attention to follower count)","Fitness & health;Beauty & fashion;Food & nutrition;Wellness & self-care;Other","3","2","1","3","1","2","2","3","3","2","Yes","25–34","Female","Europe"
